ticker,name,keyword,holdingQty,buyPrice,snapshotDate
161890,한국콜마,한국콜마,0,0,2024-12-31
011170,롯데케미칼,롯데케미칼,0,0,2024-12-31
058470,리노공업,리노공업,0,0,2024-12-31
383220,F&F,F&F,0,0,2024-12-31
294870,HDC현대산업개발,HDC현대산업개발,0,0,2024-12-31
012750,에스원,에스원,0,0,2024-12-31
007660,이수페타시스,이수페타시스,0,0,2024-12-31
375500,DL이앤씨,DL이앤씨,0,0,2024-12-31
282330,BGF리테일,BGF리테일,0,0,2024-12-31
004170,신세계,신세계,0,0,2024-12-31
022100,포스코DX,포스코DX,0,0,2024-12-31
006360,GS건설,GS건설,0,0,2024-12-31
008930,한미사이언스,한미사이언스,0,0,2024-12-31
004990,롯데지주,롯데지주,0,0,2024-12-31
000880,한화,한화,0,0,2024-12-31
028300,HLB,HLB,0,0,2024-12-31
028670,팬오션,팬오션,0,0,2024-12-31
018880,한온시스템,한온시스템,0,0,2024-12-31
003690,코리안리,코리안리,0,0,2024-12-31
214450,파마리서치,파마리서치,0,0,2024-12-31
001440,대한전선,대한전선,0,0,2024-12-31
103140,풍산,풍산,0,0,2024-12-31
007070,GS리테일,GS리테일,0,0,2024-12-31
088350,한화생명,한화생명,0,0,2024-12-31
005850,에스엘,에스엘,0,0,2024-12-31
103590,일진전기,일진전기,0,0,2024-12-31
014680,한솔케미칼,한솔케미칼,0,0,2024-12-31
001120,LX인터내셔널,LX인터내셔널,0,0,2024-12-31
069960,현대백화점,현대백화점,0,0,2024-12-31
062040,산일전기,산일전기,0,0,2024-12-31
000990,DB하이텍,DB하이텍,0,0,2024-12-31
247540,에코프로비엠,에코프로비엠,0,0,2024-12-31
185750,종근당,종근당,0,0,2024-12-31
023530,롯데쇼핑,롯데쇼핑,0,0,2024-12-31
009450,경동나비엔,경동나비엔,0,0,2024-12-31
257720,실리콘투,실리콘투,0,0,2024-12-31
145020,휴젤,휴젤,0,0,2024-12-31
035900,JYP Ent.,JYP Ent.,0,0,2024-12-31
007310,오뚜기,오뚜기,0,0,2024-12-31
298380,에이비엘바이오,에이비엘바이오,0,0,2024-12-31
010060,OCI홀딩스,OCI홀딩스,0,0,2024-12-31
000080,하이트진로,하이트진로,0,0,2024-12-31
